telegram_type_id,name,is_fetched,is_cmd
0x029C,RC300Curves, ,cmd
0x029D,RC300Curves, ,cmd
0x029E,RC300Curves, ,cmd
0x029F,RC300Curves, ,cmd
0x02A0,RC300Curves, ,cmd
0x02A1,RC300Curves, ,cmd
0x02A2,RC300Curves, ,cmd
0x02A5,RC300Monitor, ,cmd
0x02A6,RC300Monitor, ,cmd
0x02A7,CRFMonitor, ,cmd
0x02A8,RC300Monitor, ,cmd
0x02A9,RC300Monitor, ,cmd
0x02AA,RC300Monitor, ,cmd
0x02AB,RC300Monitor, ,cmd
0x02AC,RC300Monitor, ,cmd
0x02AF,RC300Summer, ,cmd
0x02B0,RC300Summer, ,cmd
0x02B1,RC300Summer, ,cmd
0x02B2,RC300Summer, ,cmd
0x02B3,RC300Summer, ,cmd
0x02B4,RC300Summer, ,cmd
0x02B5,RC300Summer, ,cmd
0x02B6,RC300Summer, ,cmd
0x02B9,RC300Set, ,cmd
0x02BA,RC300Set, ,cmd
0x02BB,RC300Set, ,cmd
0x02BC,RC300Set, ,cmd
0x02BD,RC300Set, ,cmd
0x02BE,RC300Set, ,cmd
0x02BF,RC300Set, ,cmd
0x02C0,RC300Set, ,cmd
0x02CC,HPPressure,fetched,cmd
0x02CD,MMPLUSSetMessage_HC,fetched,cmd
0x02CE,RC300Set2, ,cmd
0x02D0,RC300Set2, ,cmd
0x02D2,RC300Set2, ,cmd
0x02D5,MMPLUSSetMessage_HC,fetched,cmd
0x02D7,MMPLUSStatusMessage_HC, ,cmd
0x02DF,MMPLUSStatusMessage_HC, ,cmd
0x02F5,RC300WWmode,fetched,cmd
0x02F6,RC300WW2mode,fetched,cmd
0x031B,RC300WWtemp,fetched,cmd
0x031D,RC300WWmode2, ,cmd
0x031E,RC300WWmode2, ,cmd
0x0358,SM100SystemConfig,fetched,cmd
0x035A,SM100CircuitConfig,fetched,cmd
0x035C,SM100HeatAssist,fetched,cmd
0x035D,SM100Circuit2Config,fetched,cmd
0x035F,SM100Config1,fetched,cmd
0x0361,SM100Differential,fetched,cmd
0x0362,SM100Monitor, ,cmd
0x0363,SM100Monitor2, ,cmd
0x0364,SM100Status, ,cmd
0x0366,SM100Config, ,cmd
0x036A,SM100Status2, ,cmd
0x0380,SM100CollectorConfig,fetched,cmd
0x038E,SM100Energy,fetched,cmd
0x0391,SM100Time,fetched,cmd
0x0467,HPSet, ,cmd
0x0468,HPSet, ,cmd
0x0469,HPSet, ,cmd
0x046A,HPSet, ,cmd
0x0471,RC300Summer2, ,cmd
0x0472,RC300Summer2, ,cmd
0x0473,RC300Summer2, ,cmd
0x0474,RC300Summer2, ,cmd
0x0475,RC300Summer2, ,cmd
0x0476,RC300Summer2, ,cmd
0x0477,RC300Summer2, ,cmd
0x0478,RC300Summer2, ,cmd
0x047B,HP2, ,cmd
0x0484,HPSilentMode,fetched,cmd
0x0485,HpCooling,fetched,cmd
0x0486,HpInConfig,fetched,cmd
0x0488,HPValve,fetched,cmd
0x048A,HpPool,fetched,cmd
0x048B,HPPumps,fetched,cmd
0x048D,HpPower,fetched,cmd
0x048F,HpTemperatures, ,cmd
0x0491,HPAdditionalHeater,fetched,cmd
0x0492,HpHeaterConfig,fetched,cmd
0x0494,UBAEnergySupplied, ,cmd
0x0495,UBAInformation, ,cmd
0x0499,HPDhwSettings,fetched,cmd
0x049C,HPSettings2,fetched,cmd
0x049D,HPSettings3,fetched,cmd
0x04A2,HpInput,fetched,cmd
0x04A5,HPFan,fetched,cmd
0x04AE,HPEnergy,fetched,cmd
0x04AF,HPMeters,fetched,cmd
0x056B,VentilationMode,fetched,cmd
0x0583,VentilationMonitor, ,cmd
0x0585,Blowerspeed, ,cmd
0x0587,Bypass, ,cmd
0x05BA,HpPoolStatus,fetched,cmd
0x05D9,Airquality, ,cmd
0x0772,HIUSettings, ,cmd
0x0779,HIUMonitor, ,cmd
0x0935,EM100SetMessage,fetched,cmd
0x0936,EM100OutMessage, ,cmd
0x0937,EM100TempMessage, ,cmd
0x0938,EM100InputMessage, ,cmd
0x0939,EM100MonitorMessage, ,cmd
0x093A,EM100ConfigMessage, ,cmd
0x0998,HPSettings,fetched,cmd
0x0999,HPFunctionTest,fetched,cmd
0x099B,HPFlowTemp, ,cmd
0x099C,HPComp, ,cmd
0x09A0,HPTemperature, ,cmd
